D:\weblikefood\src\__tests__\integration\api-routes.test.ts: line 267, col 17, Warning - 'apiError' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\__tests__\lib\ai\safety-guard.test.ts: line 15, col 27, Warning - '_ConfidenceLevel' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\__tests__\lib\commerce.test.ts: line 8, col 7, Warning - 'ORDER_STATUS' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\__tests__\lib\sanitize.test.ts: line 41, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\__tests__\lib\sanitize.test.ts: line 42, col 40, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\(shop)\order-success\page.tsx: line 50, col 11, Warning - '_burstCountRef' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\(shop)\policies\terms\page.tsx: line 137, col 11, Warning - 'baseUrl' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\(shop)\products\page.tsx: line 640, col 65, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
D:\weblikefood\src\app\admin\analytics\page.tsx: line 229, col 9, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\admin\dashboard\page.tsx: line 102, col 6, Warning - React Hook useEffect has a missing dependency: 'loadData'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\app\admin\flash-sales\page.tsx: line 92, col 74, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\admin\inventory\page.tsx: line 56, col 71, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\admin\inventory\page.tsx: line 69, col 14, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\orders\[id]\page.tsx: line 156, col 6, Warning - React Hook useEffect has a missing dependency: 'fetchOrder'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\app\admin\orders\page.tsx: line 632, col 106, Warning - 'i' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\pages\page.tsx: line 191, col 9, Warning - 'handleTogglePublish' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\pages\page.tsx: line 240, col 9, Warning - 'movePage' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 83, col 10, Warning - 'selectedProduct' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 83, col 27, Warning - 'setSelectedProduct' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 84, col 10, Warning - 'drawerOpen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 84, col 22, Warning - 'setDrawerOpen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\verify\page.tsx: line 138, col 18, Warning - 'err' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\admin\orders\cleanup\route.ts: line 97, col 27, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\ai\intent\route.ts: line 9, col 63, Warning - '_Intent' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\ai\knowledge\seed\route.ts: line 14, col 28, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\google\link\route.ts: line 43, col 28, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\google\link\route.ts: line 69, col 30, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\magic-link\route.ts: line 77, col 15, Warning - '_message' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\behavior\segments\route.ts: line 16, col 7, Warning - '_SEGMENTS' is assigned a value but only used as a type. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\cart\route.ts: line 336, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\chat\route.ts: line 30, col 22, Warning - 'history' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\orders\pickup\route.ts: line 38, col 13, Warning - 'email' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\orders\route.ts: line 253, col 58, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\orders\route.ts: line 270, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\products\[slug]\qa\route.ts: line 22, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\products\[slug]\qa\route.ts: line 70, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\products\[slug]\reviews\route.ts: line 21, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\products\search-hints\route.ts: line 52, col 15, Warning - 'likeStripped' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\reviews\check\route.ts: line 12, col 27, Warning - '_canUserReview' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\cart\abandoned\route.ts: line 92, col 27, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 25, col 28, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 157, col 27, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 269, col 14, Warning - '_error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\CommandPalette.tsx: line 37, col 9, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 18, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 22, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
